empno,bonus
1,2031
2,2738
3,2514
4,3894
5,1461
6,2478
7,3583
8,2043
9,3816
10,1373
11,1208
12,2880
13,4302
14,4449
15,2077
16,1890
17,1513
18,4620
19,3404
20,1380
21,4125
22,4840
23,2679
24,2680
25,1939
26,2995
27,3343
28,4485
29,1357
30,4616
31,3710
32,1666
33,3922
34,2682
35,3306
36,3481
37,2354
38,4150
39,3987
40,3364
41,2798
42,4057
43,3918
44,3562
45,4375
46,1233
47,1623
48,1730
49,3135
50,1809
51,4638
52,3160
53,1863
54,3059
55,2779
56,4049
57,3137
58,3679
59,4630
60,1011
61,3285
62,3319
63,1105
64,4633
65,2503
66,4448
67,2325
68,3969
69,4084
70,3807
71,4559
72,1261
73,4712
74,2044
75,1985
76,4070
77,3121
78,2655
79,1208
80,3089
81,3654
82,2742
83,4688
84,4655
85,2775
86,1982
87,1237
88,1824
89,4712
90,4240
91,3958
92,1283
93,1773
94,4381
95,2130
96,1054
97,1705
98,1027
99,2564
100,1143
101,1339
102,3189
103,4087
104,1936
105,4147
106,1058
107,3904
108,3821
109,1175
110,2064
111,3712
112,1445
113,4821
114,3530
115,2203
116,2698
117,2320
118,4810
119,3133
120,2606
121,2414
122,2806
123,1451
124,1335
125,2048
126,2724
127,1663
128,1711
129,4082
130,2716
131,4206
132,2301
133,3610
134,1918
135,4056
136,3350
137,3250
138,2206
139,1950
140,3727
141,3426
142,2994
143,1128
144,4512
145,3404
146,2028
147,3461
148,4069
149,3684
150,2830
151,3196
152,4430
153,1480
154,3458
155,3017
156,3673
157,1239
158,4572
159,2021
160,4191
161,1047
162,4198
163,4240
164,2057
165,3842
166,2875
167,4211
168,1558
169,1568
170,4110
171,2547
172,4839
173,1295
174,3039
175,4338
176,1432
177,3914
178,2297
179,2053
180,1597
181,2330
182,3119
183,1806
184,4093
185,1327
186,3425
187,4972
188,3270
189,2044
190,2873
191,1990
192,3933
193,3412
194,1062
195,3835
196,2133
197,3228
198,4736
199,4199
200,4424
201,4996
202,2523
203,3102
204,4381
205,3779
206,1264
207,1242
208,3460
209,4486
210,3233
211,2947
212,1366
213,1568
214,1502
215,4435
216,3729
217,4193
218,3133
219,3004
220,4356
221,2075
222,2978
223,2240
224,4443
225,2522
226,2647
227,2166
228,2913
229,4945
230,4540
231,2462
232,1400
233,4420
234,2145
235,4963
236,1353
237,2798
238,4736
239,2358
240,1901
241,4022
242,2997
243,4804
244,3592
245,1298
246,4566
247,2720
248,4480
249,4650
250,4034
251,4639
252,2388
253,2511
254,3497
255,2363
256,4210
257,3858
258,1026
259,3194
260,2604
261,3898
262,3473
263,4611
264,2875
265,2978
266,2770
267,1126
268,3892
269,4473
270,4703
271,4511
272,1534
273,4642
274,3136
275,2704
276,4611
277,2708
278,4243
279,3404
280,3768
281,4668
282,4942
283,2233
284,4122
285,1530
286,2265
287,3576
288,2527
289,2490
290,1175
291,4294
292,1574
293,3739
294,2270
295,2431
296,3584
297,2625
298,2889
299,3171
300,2987
301,4667
302,4066
303,3131
304,3105
305,1371
306,3138
307,3441
308,4658
309,1023
310,4292
311,1361
312,4698
313,2907
314,4969
315,3244
316,2757
317,2444
318,1311
319,4215
320,1030
321,2991
322,1221
323,1049
324,4923
325,4051
326,3919
327,3788
328,4305
329,2282
330,4745
331,3614
332,3152
333,3316
334,1679
335,4998
336,1057
337,1363
338,4782
339,1199
340,3772
341,4071
342,4528
343,3820
344,1919
345,3139
346,3971
347,4372
348,1170
349,4423
350,4738
351,1366
352,4817
353,2531
354,3123
355,3934
356,3248
357,1072
358,2927
